Id_Transaksi,Nama_Pembeli,Id_Kategori,Kategori,Sub _Kategori,Id_Alamat,Kota,Tanggal_Transaksi,Wilayah,Sales,Discount,Profit,Negara
OD1,Harish,1,Oil & Masala,Masalas,1,Vellore,11/8/2017,North,1254,0.12,401.28,Tamil Nadu
OD2,Sudha,2,Beverages,Health Drinks,2,Krishnagiri,11/8/2017,South,749,0.18,149.8,Tamil Nadu
OD3,Hussain,3,Food Grains,Atta & Flour,3,Perambalur,6/12/2017,West,2360,0.21,165.2,Tamil Nadu
OD4,Jackson,4,Fruits & Veggies,Fresh Vegetables,4,Dharmapuri,10/11/2016,South,896,0.25,89.6,Tamil Nadu
OD5,Ridhesh,5,Food Grains,Organic Staples,5,Ooty,10/11/2016,South,2355,0.26,918.45,Tamil Nadu
OD6,Adavan,6,Food Grains,Organic Staples,6,Dharmapuri,6/9/2015,West,2305,0.26,322.7,Tamil Nadu
OD7,Jonas,7,Fruits & Veggies,Fresh Vegetables,7,Trichy,6/9/2015,West,826,0.33,346.92,Tamil Nadu
OD8,Hafiz,8,Fruits & Veggies,Fresh Fruits,8,Ramanadhapuram,6/9/2015,West,1847,0.32,147.76,Tamil Nadu
OD9,Hafiz,9,Bakery,Biscuits,9,Tirunelveli,6/9/2015,West,791,0.23,181.93,Tamil Nadu
OD10,Krithika,10,Bakery,Cakes,10,Chennai,6/9/2015,West,1795,0.27,484.65,Tamil Nadu
OD11,Ganesh,11,Snacks,Chocolates,11,Karur,6/9/2015,West,1903,0.13,437.69,Tamil Nadu
OD12,Yadav,12,"Eggs, Meat & Fish",Eggs,12,Namakkal,6/9/2015,West,701,0.1,308.44,Tamil Nadu
OD13,Sharon,13,Snacks,Cookies,13,Dindigul,4/15/2018,South,1659,0.19,315.21,Tamil Nadu
OD14,Peer,14,Fruits & Veggies,Fresh Vegetables,14,Kanyakumari,12/5/2017,West,1277,0.25,63.85,Tamil Nadu
OD15,Sundar,15,"Eggs, Meat & Fish",Chicken,15,Kanyakumari,11/22/2016,Central,831,0.22,207.75,Tamil Nadu
OD16,Ramesh,16,Oil & Masala,Edible Oil & Ghee,16,Krishnagiri,11/22/2016,Central,1440,0.11,100.8,Tamil Nadu
OD17,Alan,17,Bakery,Cakes,17,Dharmapuri,11/11/2015,Central,1678,0.28,318.82,Tamil Nadu
OD18,Arutra,18,Beverages,Health Drinks,18,Bodi,5/13/2015,West,1617,0.19,113.19,Tamil Nadu
OD19,Haseena,19,"Eggs, Meat & Fish",Mutton,19,Tenkasi,8/27/2015,West,1757,0.35,386.54,Tamil Nadu
OD20,Verma,20,Beverages,Soft Drinks,20,Kanyakumari,8/27/2015,West,692,0.29,159.16,Tamil Nadu
OD21,Hafiz,21,Beverages,Health Drinks,21,Vellore,8/27/2015,West,522,0.19,208.8,Tamil Nadu
OD22,Alan,22,Food Grains,Dals & Pulses,22,Karur,12/9/2017,Central,948,0.13,47.4,Tamil Nadu
OD23,Haseena,23,Beverages,Soft Drinks,23,Krishnagiri,12/9/2017,Central,707,0.34,148.47,Tamil Nadu
OD24,Alan,24,Fruits & Veggies,Organic Vegetables,24,Tenkasi,7/16/2018,East,969,0.29,77.52,Tamil Nadu
OD25,Sharon,25,"Eggs, Meat & Fish",Eggs,25,Ooty,9/25/2016,West,1100,0.11,495,Tamil Nadu
OD26,Krithika,26,Snacks,Chocolates,26,Tirunelveli,1/16/2017,West,2022,0.11,202.2,Tamil Nadu
OD27,Muneer,27,Snacks,Cookies,27,Trichy,1/16/2017,West,541,0.12,43.28,Tamil Nadu
OD28,Jackson,28,Bakery,Biscuits,28,Viluppuram,9/17/2016,East,979,0.22,401.39,Tamil Nadu
OD29,Veronica,29,Beverages,Soft Drinks,29,Krishnagiri,9/17/2016,East,1988,0.22,874.72,Tamil Nadu
OD30,Shah,30,Oil & Masala,Masalas,30,Kanyakumari,9/17/2016,East,989,0.17,69.23,Tamil Nadu
OD31,Ramesh,31,Beverages,Soft Drinks,31,Dharmapuri,9/17/2016,East,1845,0.24,166.05,Tamil Nadu
OD32,Mathew,32,Snacks,Noodles,32,Vellore,9/17/2016,East,1400,0.11,420,Tamil Nadu
OD33,Akash,33,Oil & Masala,Edible Oil & Ghee,33,Trichy,9/17/2016,East,2163,0.26,670.53,Tamil Nadu
OD34,Anu,34,Oil & Masala,Masalas,34,Madurai,9/17/2016,East,1689,0.34,337.8,Tamil Nadu
OD35,Anu,35,Beverages,Health Drinks,35,Vellore,10/19/2018,Central,809,0.32,80.9,Tamil Nadu
OD36,Sabeela,36,"Eggs, Meat & Fish",Eggs,36,Tirunelveli,12/8/2017,Central,1265,0.22,569.25,Tamil Nadu
OD37,James,37,Beverages,Soft Drinks,37,Salem,12/8/2017,Central,934,0.35,56.04,Tamil Nadu
OD38,Willams,38,Fruits & Veggies,Organic Vegetables,38,Ramanadhapuram,12/27/2016,Central,1354,0.16,446.82,Tamil Nadu
OD39,Jonas,39,Fruits & Veggies,Fresh Fruits,39,Chennai,12/27/2016,Central,1751,0.19,280.16,Tamil Nadu
OD40,Sabeela,40,"Eggs, Meat & Fish",Chicken,40,Cumbum,12/27/2016,Central,2045,0.23,879.35,Tamil Nadu
OD41,Malik,41,Beverages,Health Drinks,41,Namakkal,12/27/2016,Central,660,0.19,92.4,Tamil Nadu
OD42,Arutra,42,Beverages,Soft Drinks,42,Salem,9/10/2018,Central,1868,0.18,616.44,Tamil Nadu
OD43,Sharon,43,Snacks,Cookies,43,Bodi,7/17/2017,West,1017,0.25,345.78,Tamil Nadu
OD44,Mathew,44,Snacks,Cookies,44,Dharmapuri,9/19/2018,South,2311,0.2,1039.95,Tamil Nadu
OD45,Amrish,45,Bakery,Biscuits,45,Krishnagiri,3/11/2017,Central,1663,0.17,731.72,Tamil Nadu
OD46,Vince,46,"Eggs, Meat & Fish",Eggs,46,Madurai,3/11/2017,Central,1420,0.19,355,Tamil Nadu
OD47,Suresh,47,Fruits & Veggies,Organic Vegetables,47,Nagercoil,10/20/2015,Central,1415,0.31,509.4,Tamil Nadu
OD48,Mathew,48,Snacks,Noodles,48,Chennai,6/20/2017,East,1488,0.3,610.08,Tamil Nadu
OD49,Ridhesh,49,Snacks,Noodles,49,Pudukottai,6/20/2017,East,726,0.18,43.56,Tamil Nadu
OD50,Amrish,50,Bakery,Cakes,50,Ooty,4/18/2016,Central,1259,0.15,415.47,Tamil Nadu
OD51,Esther,51,Beverages,Soft Drinks,51,Salem,4/18/2016,Central,902,0.29,153.34,Tamil Nadu
OD52,Shah,52,Beverages,Soft Drinks,52,Salem,4/18/2016,Central,2306,0.3,553.44,Tamil Nadu
OD53,Sudha,53,Bakery,Cakes,53,Theni,4/18/2016,Central,1417,0.19,99.19,Tamil Nadu
OD54,Yusuf,54,Fruits & Veggies,Fresh Vegetables,54,Madurai,12/11/2017,East,627,0.33,181.83,Tamil Nadu
